Age,Gender,Weight_kg,Height_m,Goal,Breakfast_Meal,Breakfast_Calories,Breakfast_Protein_g,Breakfast_Carbs_g,Breakfast_Fats_g,Lunch_Meal,Lunch_Calories,Lunch_Protein_g,Lunch_Carbs_g,Lunch_Fats_g,Dinner_Meal,Dinner_Calories,Dinner_Protein_g,Dinner_Carbs_g,Dinner_Fats_g,Snacks_Meal,Snacks_Calories,Snacks_Protein_g,Snacks_Carbs_g,Snacks_Fats_g,Total_Calories,Total_Protein_g,Total_Carbs_g,Total_Fats_g
57,Male,84.3,1.62,Muscle Gain,Oatmeal,336.42,9.46,47.78,5.3,Tuo_Zaafi_with_Meat_Stew,782.0,34.0,67.0,15.0,Banku_and_Tilapia_with_Hot_Pepper,668.0,48.0,61.0,15.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2093.8,97.37,212.37,46.15
78,Male,70.4,1.61,Muscle Gain,Rice_water_and_bread,322.0,7.0,51.0,3.0,Banku_and_Tilapia_with_Hot_Pepper,687.0,55.0,60.0,12.0,Banku_with_Okra_Soup,678.0,34.0,84.0,11.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1994.38,101.91,231.59,36.85
32,Female,73.5,1.58,Muscle Gain,Hausa_Koko_(millet_porridge)_with_Koose,346.0,14.0,41.0,9.0,Tuo_Zaafi_with_Meat_Stew,709.0,33.0,81.0,14.0,Waakye_and_Fish_with_egg,589.0,56.0,79.0,13.0,Nkatie_Cake_(Groundnut_Cake),343.0,10.0,26.0,17.0,1987.0,113.0,227.0,53.0
11,Female,52.8,1.15,Muscle Gain,Rice_water_and_bread,239.0,9.0,53.0,4.0,Red-Red_(Beans_and_Plantain_with_red_oil),489.0,33.0,49.0,19.0,Waakye_and_Fish_with_egg,545.0,62.0,75.0,12.0,Agbelikaklo_with_Coconut,254.0,4.0,54.0,9.0,1527.0,108.0,231.0,44.0
42,Female,52.0,1.56,Weight Loss,Rice_water_and_bread,316.0,7.0,54.0,3.0,Banku_with_Okra_Soup,616.0,29.0,63.0,8.0,Waakye_and_Fish_with_egg,581.0,40.0,53.0,8.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1820.38,81.91,206.59,29.85
15,Male,42.8,1.32,Weight Loss,Tea/Milo/Coffee_with_bread,213.0,7.0,39.0,4.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,438.0,39.0,58.0,17.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,448.0,28.0,46.0,16.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1406.38,79.91,179.59,47.85
29,Female,66.8,1.59,Muscle Gain,Tom_Brown_and_bread,441.0,8.0,65.0,5.0,Jollof_Rice_with_Chicken,752.0,42.0,75.0,20.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,520.0,33.0,57.0,24.0,Roasted/Boiled_Maize_with_Coconut,251.0,6.0,40.0,8.0,1964.0,89.0,237.0,57.0
39,Male,59.0,1.65,Weight Loss,Tea/Milo/Coffee_with_bread,308.0,5.0,36.0,5.0,Fufu_with_Light_Soup_with_Goat_Meat,755.0,38.0,81.0,12.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,629.0,36.0,47.0,15.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1999.38,84.91,200.59,42.85
30,Male,67.8,1.66,Weight Loss,White_porridge_and_bread,320.0,7.0,44.0,4.0,Red-Red_(Beans_and_Plantain_with_red_oil),529.0,34.0,54.0,12.0,Boiled_Plantain/Yam_and_Garden_egg_stew,503.0,19.0,65.0,8.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1659.38,65.91,199.59,34.85
60,Male,77.8,1.68,Muscle Gain,Tom_Brown_and_bread,448.0,9.0,56.0,5.0,Banku_with_Okra_Soup,790.0,39.0,77.0,11.0,Tuo_Zaafi_with_Meat_Stew,745.0,37.0,82.0,13.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2290.38,90.91,251.59,39.85
